day_index,date_iso,day_type,step,P_load_kW,P_pv_kW
1,2025-09-06,weekend,0,28.777876,11.916411
1,2025-09-06,weekend,1,27.611885,6.366029
1,2025-09-06,weekend,2,27.455722,7.513622
1,2025-09-06,weekend,3,27.366458,7.252029
1,2025-09-06,weekend,4,27.943118,7.448966
1,2025-09-06,weekend,5,29.094573,5.727011
1,2025-09-06,weekend,6,29.476454,7.526874
1,2025-09-06,weekend,7,30.107802,7.703145
1,2025-09-06,weekend,8,30.331565,7.947898
1,2025-09-06,weekend,9,30.201741,7.614910
1,2025-09-06,weekend,10,30.295058,7.588279
1,2025-09-06,weekend,11,29.760176,7.264104
1,2025-09-06,weekend,12,28.473237,5.650545
1,2025-09-06,weekend,13,28.998999,6.219108
1,2025-09-06,weekend,14,30.138331,7.281519
1,2025-09-06,weekend,15,29.768209,7.646813
1,2025-09-06,weekend,16,30.356550,7.685778
1,2025-09-06,weekend,17,31.016670,7.775229
1,2025-09-06,weekend,18,31.381025,8.428028
1,2025-09-06,weekend,19,31.082079,9.094448
1,2025-09-06,weekend,20,30.293773,9.102742
1,2025-09-06,weekend,21,28.796956,10.670011
1,2025-09-06,weekend,22,27.816689,12.062751
1,2025-09-06,weekend,23,27.364737,12.995062
1,2025-09-06,weekend,24,26.087859,12.661932
1,2025-09-06,weekend,25,25.716797,12.365912
1,2025-09-06,weekend,26,25.020624,13.338043
1,2025-09-06,weekend,27,26.054142,14.722984
1,2025-09-06,weekend,28,62.204305,33.914157
1,2025-09-06,weekend,29,212.388680,79.852758
1,2025-09-06,weekend,30,287.264630,117.003220
1,2025-09-06,weekend,31,291.351240,135.986561
1,2025-09-06,weekend,32,294.959697,154.288619
1,2025-09-06,weekend,33,297.911551,174.016466
1,2025-09-06,weekend,34,297.467069,180.298976
1,2025-09-06,weekend,35,301.760918,191.592225
1,2025-09-06,weekend,36,315.441272,200.866830
1,2025-09-06,weekend,37,319.054793,203.824173
1,2025-09-06,weekend,38,323.770850,220.665033
1,2025-09-06,weekend,39,326.595653,231.769284
1,2025-09-06,weekend,40,316.449385,237.365381
1,2025-09-06,weekend,41,334.837048,243.968012
1,2025-09-06,weekend,42,339.924045,256.595368
1,2025-09-06,weekend,43,349.208883,277.219614
1,2025-09-06,weekend,44,352.437171,279.974066
1,2025-09-06,weekend,45,347.094653,270.513108
1,2025-09-06,weekend,46,339.818136,268.499191
1,2025-09-06,weekend,47,333.337518,253.133224
1,2025-09-06,weekend,48,260.013796,215.795996
1,2025-09-06,weekend,49,281.024345,224.462216
1,2025-09-06,weekend,50,307.691745,246.259886
1,2025-09-06,weekend,51,312.293243,233.969316
1,2025-09-06,weekend,52,318.557813,239.671397
1,2025-09-06,weekend,53,322.624253,245.426101
1,2025-09-06,weekend,54,341.184198,244.133631
1,2025-09-06,weekend,55,363.169667,251.763453
1,2025-09-06,weekend,56,365.740437,261.798948
1,2025-09-06,weekend,57,367.919636,254.965138
1,2025-09-06,weekend,58,363.807630,229.505891
1,2025-09-06,weekend,59,344.538704,221.572011
1,2025-09-06,weekend,60,315.390925,199.878560
1,2025-09-06,weekend,61,310.117862,195.186594
1,2025-09-06,weekend,62,299.760121,178.936028
1,2025-09-06,weekend,63,219.831379,126.757413
1,2025-09-06,weekend,64,112.448953,63.785052
1,2025-09-06,weekend,65,106.632529,60.279718
1,2025-09-06,weekend,66,98.289013,52.323490
1,2025-09-06,weekend,67,63.462441,37.753234
1,2025-09-06,weekend,68,25.835183,18.452086
1,2025-09-06,weekend,69,23.520847,13.383480
1,2025-09-06,weekend,70,23.251328,9.797423
1,2025-09-06,weekend,71,23.438468,6.463335
1,2025-09-06,weekend,72,24.370430,3.831432
1,2025-09-06,weekend,73,29.128786,1.891825
1,2025-09-06,weekend,74,29.191366,0.325745
1,2025-09-06,weekend,75,27.855680,0.003794
1,2025-09-06,weekend,76,28.510701,0.000000
1,2025-09-06,weekend,77,28.543704,0.000000
1,2025-09-06,weekend,78,27.878628,0.000000
1,2025-09-06,weekend,79,27.376250,0.000000
1,2025-09-06,weekend,80,26.793875,0.000000
1,2025-09-06,weekend,81,26.909101,0.000000
1,2025-09-06,weekend,82,26.568589,0.000000
1,2025-09-06,weekend,83,25.389360,0.000000
1,2025-09-06,weekend,84,23.567382,0.000000
1,2025-09-06,weekend,85,23.267843,0.000000
1,2025-09-06,weekend,86,23.031668,0.000000
1,2025-09-06,weekend,87,23.224088,0.000000
1,2025-09-06,weekend,88,23.332589,0.000000
1,2025-09-06,weekend,89,23.308333,0.000000
1,2025-09-06,weekend,90,23.244855,0.005025
